Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_thumb1,0.00519999999999995,7.7715611723761E-16,0.000149999999998096,0,0,0,0.000238764925590342,3.10501993540728E-09,-1.31521717395931E-22,2.50222135297291E-23,6.24022701729404E-09,1.55096364853693E-25,3.36052675076494E-09,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb1.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb1.STL,,左手URDF-SW-1/侧展关节连杆-1,l_thumb1,l_Jthumb1,l_Jthumb1,revolute,0.0520110761278898,0.0334106013473797,0.0056000000000001,1.27878882311034,-0.763777790946073,1.40926843575484,l_handbase,0,0,1,0,0,-1,1,,,,,,,,
l_thumb2,0.00814686644678475,0.000995136407689667,-1.04376374645554E-05,0,0,0,0.00356803268352128,8.79696761425054E-08,2.32353684856881E-09,2.35420968943124E-09,1.00351987247218E-07,5.43264037619202E-10,8.68898501083819E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb2.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb2.STL,,左手URDF-SW-1/侧展关节指骨-1,l_thumb2,l_Jthumb2,l_Jthumb2,revolute,0.0104000000000001,0,0,0,0,0,l_thumb1,0,0,1,0,0,-1,1,,,,,,,,
l_thumb3,0.00760000000000008,-4.44089209850063E-16,0.00249999999999984,0,0,0,0.000429802555526647,3.30678969741861E-09,-7.6876098179147E-23,4.80798731046447E-23,1.96692153253637E-08,-1.75775880167518E-23,1.71736705231725E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb3.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb3.STL,,左手URDF-SW-1/弯曲关节连杆-1,l_thumb3,l_Jthumb3,l_Jthumb3,revolute,0.0132600649313707,0,0,1.5707963267949,0,0,l_thumb2,0,0,-1,0,0,-0.2,1,,,,,,,,
l_thumb4,0.0171084870466681,0.00220731498252735,-0.00126878063134162,0,0,0,0.00661288261620848,1.38975992887601E-07,4.07935790900096E-09,-1.05450949696324E-09,1.19402015855595E-06,-1.18633867864344E-09,1.22545759778614E-06,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb4.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb4.STL,,左手URDF-SW-1/拇指近节指骨-1,l_thumb4,l_Jthumb4,l_Jthumb4,revolute,0.0152000000000001,0,0,0,0,0,l_thumb3,0,0,-1,0,0,-0.2,1,,,,,,,,
l_thumb5,0.0076,-2.22044604925031E-16,0.00249999999999984,0,0,0,0.000429802555526648,3.30678969741863E-09,-8.37520370209941E-23,1.64402146744914E-23,1.96692153253637E-08,-1.94387443949962E-23,1.71736705231725E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb5.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb5.STL,,左手URDF-SW-1/弯曲关节连杆-2,l_thumb5,l_Jthumb5,l_Jthumb5,revolute,0.0340000000000001,0,0,0,0,0,l_thumb4,0,0,-1,0,0,-0.2,1,,,,,,,,
l_thumb6,0.0104585475379186,0.000405203111151886,-0.00173774564464091,0,0,0,0.0052008626569703,1.15001653437084E-07,2.44305020006855E-09,2.11014651954353E-10,4.70051172809416E-07,-1.03268197923374E-09,5.31554185671917E-07,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb6.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb6.STL,,左手URDF-SW-1/拇指中节指骨-1,l_thumb6,l_Jthumb6,l_Jthumb6,revolute,0.0152,0,0,0,0,0,l_thumb5,0,0,-1,0,0,-0.2,1,,,,,,,,
l_thumb7,0.0076,2.22044604925031E-16,0.00249999999999984,0,0,0,0.000429802555526648,3.30678969741863E-09,-8.15289891247578E-23,-6.20385459414771E-24,1.96692153253637E-08,-1.77843831698901E-23,1.71736705231725E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb7.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb7.STL,,左手URDF-SW-1/弯曲关节连杆-3,l_thumb7,l_Jthumb7,l_Jthumb7,revolute,0.0210000000000002,0,0,0,0,0,l_thumb6,0,0,-1,0,0,-0.2,1,,,,,,,,
l_thumb8,0.0118629331403791,2.53116984546553E-05,-0.000508457088368108,0,0,0,0.00624074454038705,1.33112890070389E-07,2.55177958918903E-08,7.74065193520298E-09,4.05014880120039E-07,-1.16899158766193E-09,3.89132821840768E-07,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb8.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_thumb8.STL,,左手URDF-SW-1/指尖-1,l_thumb8,l_Jthumb8,l_Jthumb8,revolute,0.0151999999999999,0,0,0,0,0,l_thumb7,0,0,-1,0,0,-0.2,1,,,,,,,,
l_index1,0.00520000000000032,5.55111512312578E-17,-0.000350000000000517,0,0,0,0.000238764925590337,3.10501993540718E-09,-7.0748301248738E-24,-3.08314803493324E-24,6.24022701729392E-09,3.92249840988025E-25,3.36052675076491E-09,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index1.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index1.STL,,左手URDF-SW-1/侧展关节连杆-2,l_index1,l_Jindex1,l_Jindex1,revolute,0.087900000000001,0.0374999999999993,-0.000399999999999179,0,0,0,l_handbase,0,0,1,0,0,-0.5,0.5,,,,,,,,
l_index2,0.00814688633727578,0.000995142250989733,-1.04385945861596E-05,0,0,0,0.00356802047775321,8.79696016770262E-08,2.32355231318636E-09,2.35421600026823E-09,1.00351725934249E-07,5.43265671669016E-10,8.68895962587191E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index2.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index2.STL,,左手URDF-SW-1/侧展关节指骨-2,l_index2,l_Jindex2,l_Jindex2,revolute,0.0104,0,0,0,0,0,l_index1,0,0,1,0,0,-0.5,0.5,,,,,,,,
